iter	Passed	Remaining
840	49014	9266
841	49060	9206
842	49105	9145
843	49153	9085
844	49200	9024
845	49245	8964
846	49291	8903
847	49337	8843
848	49382	8782
849	49431	8723
850	49477	8662
851	49524	8602
852	49571	8542
853	49617	8482
854	49663	8422
855	49708	8362
856	49755	8302
857	49802	8242
858	49848	8182
859	49894	8122
860	49939	8062
861	49985	8002
862	50032	7942
863	50077	7882
864	50123	7822
865	50170	7763
866	50216	7703
867	50262	7643
868	50307	7583
869	50352	7523
870	50399	7464
871	50445	7404
872	50493	7345
873	50541	7286
874	50590	7227
875	50636	7167
876	50683	7108
877	50733	7049
878	50780	6990
879	50828	6931
880	50876	6872
881	50923	6812
882	50968	6753
883	51012	6693
884	51057	6634
885	51102	6575
886	51145	6515
887	51188	6456
888	51232	6396
889	51276	6337
890	51320	6278
891	51367	6219
892	51413	6160
893	51461	6101
894	51507	6042
895	51553	5983
896	51599	5925
897	51647	5866
898	51696	5807
899	51744	5749
900	51790	5690
901	51836	5631
902	51883	5573
903	51931	5514
904	51979	5456
905	52023	5397
906	52067	5338
907	52111	5280
908	52156	5221
909	52200	5162
910	52243	5103
911	52288	5045
912	52331	4986
913	52376	4928
914	52419	4869
915	52463	4811
916	52509	4752
917	52560	4694
918	52605	4636
919	52654	4578
920	52699	4520
921	52744	4462
922	52789	4403
923	52834	4345
924	52880	4287
925	52924	4229
926	52969	4171
927	53016	4113
928	53060	4055
929	53104	3997
930	53147	3938
931	53191	3880
932	53235	3822
933	53278	3764
934	53322	3706
935	53367	3649
936	53410	3591
937	53455	3533
938	53500	3475
939	53547	3417
940	53594	3360
941	53640	3302
942	53687	3245
943	53735	3187
944	53779	3130
945	53823	3072
946	53868	3014
947	53912	2957
948	53956	2899
949	53999	2842
950	54044	2784
951	54088	2727
952	54132	2669
953	54176	2612
954	54220	2554
955	54274	2498
956	54319	2440
957	54363	2383
958	54408	2326
959	54452	2268
960	54496	2211
961	54541	2154
962	54587	2097
963	54632	2040
964	54678	1983
965	54724	1926
966	54767	1869
967	54810	1811
968	54854	1754
969	54898	1697
970	54944	1640
971	54991	1584
972	55036	1527
973	55082	1470
974	55128	1413
975	55173	1356
976	55219	1299
977	55263	1243
978	55309	1186
979	55356	1129
980	55403	1073
981	55451	1016
982	55495	959
983	55541	903
984	55586	846
985	55630	789
986	55674	733
987	55720	676
988	55765	620
989	55810	563
990	55855	507
991	55901	450
992	55945	394
993	55989	337
994	56035	281
995	56082	225
996	56127	168
997	56173	112
998	56220	56
999	56266	0
